method name: freqs			
corpus: parlamint51_si			
subcorpus: -			
concordance size: 869			
"query: Query:([lemma=""""naš""""][]{1,3}[lemma=""""vaš""""])|([lemma=""""vaš""""][]{1,3}[lemma=""""naš""""])within<s/>"			
speech.subcorpus	Frequency	Relative density	Relative in text types
Referenčni	732	95.82904	10.19491
COVID	133	133.83529	14.23825
COVID,Vojna	4	69.39813	7.38302
Parliamentary body	Frequency	Relative density	Relative in text types
Spodnji dom	869	100	10.63864
speech.date	Frequency	Relative density	Relative in text types
Knežak, Soniboj	4	251.94355	26.80336
Lahovnik, Matej	4	214.87605	22.85989
Brejc, Mihael	4	112.7718	11.99738
Janc, Kristijan	4	167.57273	17.82746
Rupel, Dimitrij	4	433.58546	46.12759
Sukič, Nataša	4	121.60929	12.93757
Klasinc, Janja	4	560.15608	59.59298
Barovič, Bogdan	4	54.51914	5.80009
Župevc, Melita	4	512.83207	54.55835
Zalokar Oražem, Cvetka	4	110.26493	11.73069
Cukjati, France	4	42.03754	4.47222
Kres, Gvido	3	194.45239	20.68709
Ramšak, Sonja	3	315.68745	33.58485
Židan, Dejan	3	52.51277	5.58664
Kangler, Franc	3	143.66185	15.28366
Škoberne, Jan	3	177.68695	18.90347
Jurša, Franc	3	76.24201	8.11111
Logar, Anže	3	106.84755	11.36712
Jelinčič, Zmago	3	46.88379	4.9878
Rop, Anton	3	118.43434	12.5998
Ferjan, Jure	3	338.13894	35.97338
Gregorčič, Monika	3	277.55563	29.52814
Novak, Ljudmila	3	115.0284	12.23746
Medved, Rudi	3	145.02501	15.42869
Pogačnik, Marko	3	69.49116	7.39291
