method name: freqs			
corpus: janes			
subcorpus: -			
concordance size: 2499			
"query: Query:([lemma=""""naš""""][]{1,3}[lemma=""""vaš""""])|([lemma=""""vaš""""][]{1,3}[lemma=""""naš""""])within<s/>"			
group.type	Frequency	Relative density	Relative in text types
Vedno uporabno Tovarna znanja Avtomobilizem.com	1	179.56383	17.74308
Predsednik Borut odhaja na olimpiado	1	4874.86397	481.69557
Primc meče slabo luč na sodelavce	1	3181.45791	314.36655
NAŠI ZAKONI, PO KATERIH TUJCEM BOMO SUŽNJI	1	2893.14397	285.87764
Malo poezije, prazne, nične	1	5315.24034	525.21008
TITO, REŠI NAS!	1	2495.12268	246.54832
Milovanovič: Vse bolj vroče prvenstvo	1	7192.76305	710.73205
Prekletstvo Slovenskega Risa . . . Odgovor Amselu . . . in …	1	2777.99001	274.49904
Rašo: Olimpija je še vedno poznano ime, toda tako ne gre na…	1	1566.8397	154.82273
Balić zavrnil srebro in se posmehoval Karabatiću	1	655.24232	64.74587
Protestniki: Svoboda Janši, svoboda narodu	1	381.67896	37.7145
O prekarnem delu: Izgubljena generacija osemdesetih let	1	5672.76772	560.53812
Bo Obamov &#34;čudežni prah&#34; deloval na muslimane?	1	5340.48423	527.70449
Špela na Švedskem spoznava: Tu otrok pri 30 letih, ki bi ži…	1	1704.88841	168.46361
Resnica o &#34;500 podjetnic&#34;	1	2164.28948	213.858
Mediana: SDS-u 29, Virantu 20 ter Jankoviću 18 odstotkov gl…	1	987.72376	97.59906
Trojka obeta prisilni zaseg zasebnih prihrankov	1	8995.74898	888.88889
KOMUNISTIČNI MANIFEST JE BIBLIJA NAŠE LEVICE	1	329.26268	32.53514
Ljubljanski nadškof Stanislav Zore podprl delovanje Koalici…	1	19022.96543	1879.69925
Francozi po zgodovinskem preobratu v nedeljo po prvi naslov	1	433.6183	42.84674
Foto: Sava prebila nasip pri Obrenovcu, v BiH-u v torek dan…	1	2250.43754	222.37047
Pavel Rupar mora v zapor in občini povrniti denar	1	5085.53649	502.51256
Boem pa ne	1	17943.64824	1773.04965
Starševstvo in medsebojni odnosi Obporodne stiske	1	64.27045	6.3507
Pages	1	8800.18922	869.56522
Se res Primc in druščina borijo za ljubezen in srečo otrok …	1	3241.58155	320.3075
Slovenci bomo podalpski Hrvati?	1	10608.19456	1048.21803
Pri Lovšinu odkrili za 1,6 milijona evrov nenapovedanih pri…	1	2170.32331	214.45421
Kazijo nam pogled	1	16672.51665	1647.44646
Foto: Pogled na življenje odprtega oddelka Doba, kjer kazen…	1	1105.79301	109.26573
Ivan Vilibor Sinčić novi predsednik Hrvaške?	1	23105.51965	2283.10502
Vrhovni sodnik Šorli: Masleša ne more pregnati senc, ki so …	1	479.40396	47.37091
Janković po zaslišanju: Pojasnil sem, kar je zanimalo krimi…	1	1113.8254	110.05943
Antikomunizem	1	2525.63454	249.56326
Čebela in »toti« bloger	1	4685.28593	462.96296
Ustavno načelo ločenosti države in cerkve in razumevanje na…	1	1431.43106	141.44272
Lepa duša v bordelu	1	2558.19454	252.78059
MZZ: Ob grozodejstvih Islamske države ne moremo mirno stati	1	1327.41574	131.16474
Trije kandidati za direktorja Radia Slovenija	1	82952.60334	8196.72131
Foto: Janša ni podal zahtevka za zadržanje kazni	1	227.27761	22.45778
Ministrstva potrebujejo dodatna sredstva, vendar jih ni na …	1	2951.36122	291.63021
&#34;Poljaki se lahko zahvalijo tistemu zgoraj&#34;	1	4452.36146	439.94721
Jakič bo &#34;držal besedo&#34; in odstopil, če bo &#34;vložen pravnomo…	1	709.04628	70.06236
&#34;Kot družba smo nazadovali v zagotavljanju socialnih in eko…	1	5113.80374	505.30571
Čigava priložnost	1	1593.73506	157.48031
Pretep pred začetkom tribune Zbora za republiko v Mariboru	1	434.38139	42.92214
50% popusta na vašo prvo masažo	1	49853.2887	4926.10837
Zakaj bo Kučan vedno premagal Janšo	1	6801.22151	672.04301
Medicina v primežu	1	4568.947	451.46727
CPL: Mimoviću odrejen 30-dnevni pripor, Petrič mora v hišni…	1	3207.67595	316.95721
Erjavec ogorčen zaradi samopotrjevanja Alenke Bratušek	1	3035.45819	299.94001
Svetniki za novo glasovanje o direktorju RTV SLO. Pirc Musa…	1	1832.70873	181.09381
Foto s Parade ponosa: &#34;Družinski zakonik bo prišel v veljav…	1	612.67815	60.54002
Potomci Kajna in Abela	1	2137.77305	211.23785
Dan Slovenske vojske	1	4724.65808	466.85341
OJ, DRAGE SLOVENKE IN SLOVENCI	1	3998.50557	395.10075
zaljubi sanje v sanjača: postani veter, ne pahljača	1	7349.46812	726.21641
Zgodovinski ne!	1	2024.44841	200.04001
KOZLOVSKA SODBA V VIŠNJI GORI	1	757.61473	74.86151
KPK: Izjava Janeza Janše je v celoti neresnična	1	179.83505	17.76988
Četniki = nacistični kolaboranti	1	3978.07296	393.08176
Janša, NIKOLI VEČ! Za vedno!	1	7424.95789	733.67572
Z ruskimi ujetniki 4	1	3116.79015	307.97659
Adria Airways Tehnika z roba insolventnosti v letu dni do l…	1	21486.66159	2123.14225
Nekaj je narobe	1	3762.16268	371.74721
Zaokroženo ...	1	42167.57336	4166.66667
ZZZS ne dovoli prostovoljnih prispevkov za ambulanto v Jurš…	1	8547.48109	844.59459
Zdravstvene posvetovalnice Pediatrija Pediatrija	1	84.4555	8.34523
Parada ponosa: razočaranje nad politiki in poziv k enakim p…	1	1421.97803	140.50864
SDS zahteva odpoklic veleposlanika v Avstraliji, Milana Bal…	1	3363.31592	332.33632
Patologija laži III	1	6056.38397	598.44405
Turk uzakonja cenzuro	1	16428.92469	1623.37662
Ustavno sodišče: Ni razlogov, da bi naredili izjemo	1	139.17265	13.75194
250 evrov kazni, ker naj bi s traktorjem divjala po Ljublja…	1	4006.42027	395.88282
Pismo morilki	1	43434.41033	4291.84549
Danilo Türk: Državni zbor je izvoljen, ustanovna seja bo v …	1	1025.97502	101.37875
Sum vohunjenja veleposlanika pri Natu? Nato: Nobene preiska…	1	443.32476	43.80585
Janša obsojen. Odvetnik Matoz: &#34;Sodbo bomo razveljavili.&#34;	1	152.77414	15.09593
Napake velikega govornika	1	5438.05352	537.34551
Božo Repe: Rovte s pomenljivim imenom niso le slovenske, pa…	1	767.7883	75.86678
A.com Zavarovanje in registracija vozil	1	16.46311	1.62675
Jesenski piknik	1	73334.9102	7246.37681
In druge zgodbe	1	2279.32829	225.22523
O Janši na prvi seji novega DZ-ja ne bodo glasovali	1	1008.39155	99.64129
»Trojka, pridi!«	1	3200.57483	316.25553
Starševstvo in medsebojni odnosi Vzgoja otrok in družine	1	61.61097	6.08791
Komu je v interesu javni linč Janeza Zemljariča, Silva Gore…	1	7096.92679	701.26227
Nepremičninski zakon razveljavljen. Bratuškova kljub pozivo…	1	193.62167	19.13216
Verbalni delikt	1	3704.32562	366.03221
Kdo so najhujši zločinci ?	1	1842.38442	182.04988
Antična modrost in slovenske volitve 2008	1	11157.90254	1102.53583
