method name: freqs			
corpus: siparl40			
subcorpus: -			
concordance size: 1922			
"query: Query:([lemma=""""naš""""][]{1,3}[lemma=""""vaš""""])|([lemma=""""vaš""""][]{1,3}[lemma=""""naš""""])within<s/>"			
Legislative period (in Slovene)	Frequency	Relative density	Relative in text types
OZZ-032-Nujna-2020-04-21.ana	2	613.45656	43.18535
Izredna-31-1995-07-12.ana	2	398.06644	28.02259
SDZ8-Redna-03-2018-12-17.ana	2	438.64872	30.87945
OZF-003-Nujna-2018-11-15.ana	2	790.03365	55.61581
SDZ8-Izredna-90-2021-12-22.ana	2	541.68701	38.13301
Redna-25-2007-03-09.ana	2	1094.13849	77.0238
Redna-28-2007-05-28.ana	2	668.70028	47.07433
OZF-038-Nujna-2020-05-06.ana	2	978.38694	68.87527
Skupna-041-Nujna-2021-10-04.ana	2	1213.44553	85.42263
Skupna-2018-01-19.ana	2	2989.30978	210.43771
OZNZJUILS-redna-1-2014-10-22.ana	2	1024.38884	72.11365
Redna-21-2016-07-13.ana	2	391.76492	27.57898
OZKGPIO-redna-6-2012-05-30.ana	2	1161.97955	81.79959
Redna-35-2017-11-28.ana	2	954.04144	67.16142
Redna-35-2017-11-13.ana	2	686.17525	48.30451
Izredna-49-2017-10-11.ana	2	531.8706	37.44196
Izredna-43-2017-05-08.ana	2	386.51502	27.2094
OZDDSZII-redna-48-2017-09-28.ana	2	1757.3081	123.70879
Skupna-2017-09-05_2.ana	2	3264.06251	229.77941
Izredna-23-2012-12-05.ana	2	275.44938	19.39074
OZNZJUILS-nujna-54-2017-07-13.ana	2	1233.73285	86.85079
Skupna-2014-02-25.ana	2	1422.29788	100.12516
Izredna-24-2015-11-20.ana	2	679.67464	47.84689
Redna-27-2017-02-17.ana	2	526.03085	37.03087
Redna-23-2014-04-04.ana	2	345.474	24.32025
OZDDSZII-redna-34-2017-01-13.ana	2	1000.89484	70.45975
Izredna-60-2014-04-15.ana	2	555.38961	39.09763
Izredna-50-2017-10-23.ana	2	696.43575	49.02682
OZKSMZIS-Izredna-003-2001-03-27.ana	2	1303.34894	91.75154
Redna-23-2016-10-20.ana	2	364.54436	25.66274
OZDDSZII-nujna-42-2016-10-13.ana	2	1258.04367	88.56219
Izredna-34-2016-06-29.ana	2	556.81556	39.19801
Izredna-13-2005-12-09.ana	2	367.60086	25.87791
KZNJF-Redna-013-2010-02-18.ana	2	1748.54752	123.09207
Redna-25-2016-12-16.ana	2	388.90121	27.37738
Redna-22-2014-03-04.ana	2	442.6744	31.16284
Redna-16-2016-03-02.ana	2	260.47382	18.33651
