method name: freqs			
corpus: siparl40			
subcorpus: -			
concordance size: 1922			
"query: Query:([lemma=""""naš""""][]{1,3}[lemma=""""vaš""""])|([lemma=""""vaš""""][]{1,3}[lemma=""""naš""""])within<s/>"			
Legislative period (in Slovene)	Frequency	Relative density	Relative in text types
SAB	32	177.38152	12.48708
NP	28	107.24748	7.54987
SKD	22	46.70733	3.28804
ZL	13	64.95206	4.57241
DL	7	75.19827	5.29371
NeP	6	81.23446	5.71864
ZaAB	6	144.25965	10.15541
IMNS	6	59.11862	4.16176
DS	3	31.50776	2.21804
SKZ-LS	2	29.3335	2.06498
Lipa	2	111.37839	7.84068
ZKS-SDP	2	30.21017	2.1267
SDZ	2	39.32638	2.76845
SDZ-NDS	1	84.23837	5.93011
ZESS	1	46.13096	3.24747
SLS+SKD	1	11.44235	0.8055
ZELENI	1	26.8298	1.88873
SSS	1	28.89867	2.03437
ZSMS	1	68.71046	4.83699
SMS	1	48.15746	3.39013
Name of speaker's party (in Slovene)	Frequency	Relative density	Relative in text types
Slovenska demokratska stranka	393	139.05849	9.78927
 -	322	65.73736	4.6277
Socialni demokrati	244	170.35613	11.99252
Liberalna demokracija Slovenije	141	87.32279	6.14724
Nova Slovenija – Krščanski demokrati	91	105.09572	7.3984
Pozitivna Slovenija	89	331.69796	23.35046
Levica	84	172.22087	12.12379
Slovenska ljudska stranka	73	87.92188	6.18942
Lista Marjana Šarca	66	210.38512	14.81043
Stranka modernega centra	55	82.57393	5.81294
Zares - nova politika	47	167.79779	11.81242
Socialdemokratska stranka Slovenije	47	68.53637	4.82474
Slovenska nacionalna stranka	44	110.22059	7.75917
Demokratična stranka upokojencev Slovenije	41	71.61165	5.04123
Združena lista socialnih demokratov	38	49.42839	3.4796
Stranka Alenke Bratušek	32	177.38152	12.48708
Poslanska skupina nepovezanih poslancev	28	107.24748	7.54987
Slovenski krščanski demokrati	22	46.70733	3.28804
Združena levica	13	64.95206	4.57241
Stranka Mira Cerarja	8	128.77279	9.06519
Državljanska lista	7	75.19827	5.29371
Poslanci italijanske in madžarske narodne skupnosti	6	59.11862	4.16176
Nepovezani poslanci	6	81.23446	5.71864
Zavezništvo Alenke Bratušek	6	144.25965	10.15541
Lipa	2	111.37839	7.84068
Slovenska kmečka zveza - Ljudska stranka	2	29.3335	2.06498
Slovenska demokratična zveza	2	39.32638	2.76845
Demokratska stanka Slovenije	2	56.9744	4.01081
Zveza komunistov Slovenije - Stranka demokratične prenove	2	30.21017	2.1267
SLS+SKD Slovenska ljudska stranka	1	11.44235	0.8055
Stranka mladih Slovenije	1	48.15746	3.39013
Demokrati – Demokratska stranka	1	16.63585	1.17111
Zeleni – ekološko socialna stranka	1	46.13096	3.24747
SDZ - Narodno demokratska stranko	1	84.23837	5.93011
Liberalno demokratska stranka	1	5.7772	0.4067
Socialistična stranka Slovenije	1	28.89867	2.03437
ZSMS - Liberalna stranka	1	68.71046	4.83699
Zeleni Slovenije	1	26.8298	1.88873
Name of speaker's party (in English)	Frequency	Relative density	Relative in text types
Slovenian Democratic Party	393	139.05849	9.78927
 -	322	65.73736	4.6277
Social Democrats	244	170.35613	11.99252
Liberal Democracy of Slovenia	141	87.32279	6.14724
New Slovenia – Christian Democrats	91	105.09572	7.3984
Positive Slovenia	89	331.69796	23.35046
The Left	84	172.22087	12.12379
Slovenian People's Party	73	87.92188	6.18942
The List of Marjan Šarec	66	210.38512	14.81043
Modern Centre Party	55	82.57393	5.81294
Social Democratic Union of Slovenia	47	68.53637	4.82474
Really — New Politics	47	167.79779	11.81242
Slovenian National Party	44	110.22059	7.75917
Democratic Party of Pensioners of Slovenia	41	71.61165	5.04123
United List of Social Democrats	38	49.42839	3.4796
Party of Alenka Bratušek	32	177.38152	12.48708
Parliamentary group of unrelated members of parliament	28	107.24748	7.54987
Slovene Christian Democrats	22	46.70733	3.28804
United Left	13	64.95206	4.57241
Party of Miro Cerar	8	128.77279	9.06519
Civic List	7	75.19827	5.29371
Alliance of Alenka Bratušek	6	144.25965	10.15541
Unrelated members of parliament	6	81.23446	5.71864
Members of the Italian and Hungarian national communities	6	59.11862	4.16176
Party Lime Tree	2	111.37839	7.84068
League of Communists of Slovenia - Party of Democratic Renewal	2	30.21017	2.1267
Slovenian Democratic Union	2	39.32638	2.76845
Democratic Party of Slovenia	2	56.9744	4.01081
Slovenian Peasant Union - People's Party	2	29.3335	2.06498
Democratic Party	1	16.63585	1.17111
Youth Party of Slovenia	1	48.15746	3.39013
SDZ - National Democratic Party	1	84.23837	5.93011
Slovenian People's Party and Slovene Christian Democrats	1	11.44235	0.8055
Socialist Party of Slovenia	1	28.89867	2.03437
ZSMS - Liberal Party	1	68.71046	4.83699
Greens - Ecological Social Party	1	46.13096	3.24747
Liberal Democratic Party	1	5.7772	0.4067
Greens of Slovenia	1	26.8298	1.88873
Speaker ID	Frequency	Relative density	Relative in text types
PojbičMarijan	52	724.37842	50.99389
BratušekAlenka	49	612.04168	43.08575
TankoJože	36	161.63217	11.37838
KociperMaša	33	479.89312	33.78292
TrčekFranc	32	213.13128	15.00375
LisecTomaž	29	340.723	23.98579
TomićVioleta	27	316.07381	22.25057
HanMatjaž	27	401.14044	28.23899
HorvatJožef	26	130.70523	9.20122
NemecMatjaž	23	502.36422	35.36481
PavliničKrebsIrma	22	283.25886	19.9405
GorenakVinko	22	146.66804	10.32495
ToninMatej	21	325.20176	22.89315
PukšičFranc	20	201.61789	14.19325
PotrčMiran	20	87.68117	6.17247
ČernačZvonko	19	151.14919	10.64041
VizjakAndrej	18	106.38771	7.48935
MöderndorferJankoJani	18	144.10753	10.1447
HeferleTina	18	452.73774	31.87127
GašparMišičGašpar	17	935.40695	65.84961
unknown-M	17	51.85283	3.65027
PahorBorut	16	148.6298	10.46306
GrimsBranko	16	78.35436	5.51589
PetanRudolf	16	117.48677	8.27069
ŠircaRavnikarMajda	16	215.41553	15.16455
AnderličAnton	15	109.86058	7.73383
JerovšekJožef	15	90.26755	6.35454
MesecLuka	14	165.44195	11.64658
BrulcMirko	14	610.01868	42.94334
LogarAnže	14	259.5136	18.26892
PodobnikJanez	14	87.46817	6.15748
JanšaJanez	13	97.31071	6.85036
JerajAlenka	13	186.02428	13.09551
SajovicBorut	13	307.47545	21.64527
VrtovecJernej	12	259.17799	18.24529
MehSrečko	12	642.84195	45.25399
ZagoracBoštjan	12	510.36953	35.92836
KoražijaBoštjan	12	501.78504	35.32404
SukičNataša	12	168.77599	11.88128
PriklUroš	12	251.40612	17.69818
KontičBojan	12	212.62988	14.96845
BevkSamo	11	129.43556	9.11184
BreznikFranc	11	95.17009	6.69967
PečeSašo	11	124.59122	8.77082
unknown-F	10	84.19568	5.9271
TrofenikVili	10	105.09277	7.39819
BandelliMarko	10	193.47203	13.6198
LevaničDejan	10	618.00163	43.50531
GodecJelka	10	203.44119	14.3216
BahŽibertAnja	10	103.04966	7.25436
KordišMiha	10	72.05856	5.07269
PavšičRobert	10	309.22077	21.76814
KacinJelko	10	119.19884	8.39121
SlugaJanja	9	180.89139	12.73417
GantarPavel	9	72.70463	5.11817
HvalicaIvo	9	127.60142	8.98273
BrenčičStanislav	9	116.53371	8.20359
LavrincMaksimiljan	9	114.4218	8.05492
HojsAleš	8	271.90108	19.14095
FurmanKarmen	8	909.78785	64.04611
KavtičnikJože	8	419.48566	29.53043
RupelDimitrij	8	208.22556	14.6584
BrinovšekNada	8	481.20596	33.87534
NovakLjudmila	8	266.84137	18.78477
IrglEva	8	73.09871	5.14591
KrivecDanijel	8	135.40884	9.53234
PosedelAlojz	8	537.02561	37.80486
CviklMilanMartin	8	51.67843	3.63799
JancKristijan	8	388.29925	27.33501
RuparPavel	8	297.29887	20.92888
BrunskoleRenata	7	164.67124	11.59232
FrangežMatevž	7	135.26977	9.52255
BajukAndrej	7	89.40498	6.29382
KustecLipicerSimona	7	420.46234	29.59918
HotMeira	7	354.59684	24.96247
ZorčičIgor	7	104.38114	7.34809
JagodnikJože	7	854.99179	60.18865
JelinčičPlemenitiZmago	7	66.4138	4.67532
PrijateljSrečko	7	187.30027	13.18533
ŠkolčJožef	7	61.88786	4.3567
GeržinaMiroslav	7	328.0625	23.09454
ŽupevcMelita	6	403.73078	28.42134
LavtižarBeblerDarja	6	78.67171	5.53823
CukjatiFrance	6	65.99667	4.64595
LahovnikMatej	6	224.94972	15.83573
ŽerjavRadovan	6	198.9835	14.00779
DoblekarBoris	6	176.49537	12.4247
PečanBreda	6	73.03545	5.14146
KlasincJanja	6	261.27629	18.393
ŽidanDejan	6	61.72059	4.34493
SiterPrimož	6	103.35778	7.27605
MedvedRudi	6	223.75151	15.75138
ZalokarOražemCvetka	6	108.1584	7.614
PrebilNik	6	238.72413	16.8054
KalohDejan	6	436.33125	30.7163
JuršaFranc	6	158.66089	11.16921
MozetičMiroslav	6	72.80928	5.12554
RopAnton	6	112.10015	7.89149
PotrataMajda	5	25.5895	1.80142
DimicIva	5	62.97095	4.43295
LenartJože	5	106.41237	7.49109
PikaloJernej	5	461.43252	32.48335
BajcJosip	5	175.1471	12.32979
LenartJožef	5	664.12956	46.75257
KoprivcMarko	5	255.15329	17.96196
PočivalšekZdravko	5	297.64694	20.95338
RajićBranislav	5	191.33335	13.46925
StareDarko	5	330.22294	23.24662
GermičLjubo	5	60.18454	4.2368
PetekMilan	5	120.31372	8.4697
PresečnikJakob	4	46.56446	3.27799
AvberšekAlenka	4	670.29374	47.1865
JakičRoman	4	82.28376	5.79251
BarovičBogdan	4	55.82022	3.92956
CiglerŽeljko	4	106.98358	7.5313
JelušičLjubica	4	115.158	8.10675
ZajcSimon	4	159.82898	11.25144
KnežakSoniboj	4	187.05082	13.16777
VogrinIvan	4	280.81426	19.76841
BrglezMilan	4	52.98871	3.73023
BožičTilen	4	87.69779	6.17364
ŽgajnerTavšBarbara	4	113.56165	7.99437
TerčonDavorin	4	155.74596	10.96401
KanglerFranc	4	116.62008	8.20968
KorčeJerca	4	257.1973	18.10586
GaberSlavko	4	102.74433	7.23287
DivjakMirnikLidija	4	175.98444	12.38873
PirkovičIgor	4	6762.77079	476.07712
PogačnikMarko	4	62.40396	4.39304
LepJurij	4	205.59387	14.47314
CantaruttiAleš	4	233.91805	16.46707
DžubanGeza	4	101.94376	7.17651
ŠirceljAndrej	4	30.9426	2.17826
OtoničarVincenc	4	2336.86203	164.50751
RokavecFranci	4	114.94229	8.09156
ŠkoberneJan	4	187.8386	13.22323
KresGvido	4	286.2307	20.14971
RihterAndreja	4	360.59985	25.38506
VerličPeter	4	315.0288	22.17701
BrejcMihael	4	122.50931	8.62426
PeterleAlojz	4	60.82236	4.2817
HrovatRobert	3	122.77933	8.64327
RožejVito	3	117.89689	8.29956
SlapnikTadej	3	474.05446	33.3719
MaroltRobert	3	224.00379	15.76914
PrevcMihael	3	129.03691	9.08378
GrillIvan	3	77.2866	5.44073
CerarMiro	3	104.33288	7.3447
SokAlojz	3	38.90301	2.73865
ŽnidarLjubo	3	105.91121	7.45581
HršakIvan	3	105.44031	7.42266
VirantGregor	3	63.76545	4.48888
MatićDragan	3	133.71488	9.41309
Kregelj-ZbačnikMajdaAna	3	69.66304	4.90405
HorvatMitja	3	99.24615	6.98661
KlemenčičGoran	3	127.44471	8.97169
ČebuljFranc	3	220.3974	15.51526
ČušAndrej	3	139.12391	9.79387
KurentAndreja	3	196.34273	13.82189
JuriAurelio	3	68.40737	4.81566
JančarJanez	3	961.26137	67.66968
TomcRomana	3	110.26742	7.76247
IvanušaJani	3	196.70615	13.84747
ZupancicJoze1936	3	47.91511	3.37307
FerjanJure	3	292.62927	20.60015
ZavadlavUšajElena	3	437.56328	30.80304
ŠterAndrej	3	256.76689	18.07556
KumerDušan	3	81.90992	5.76619
MuršičBojana	3	55.0032	3.87205
StarovićVojko	3	112.10944	7.89214
BogovičFranc	3	47.92039	3.37344
GregorčičMonika	3	187.00567	13.16459
RamšakSonja	3	129.63393	9.12581
GönczLászló	3	88.68421	6.24308
ČrnugeljSilva	3	136.00564	9.57436
KopačJanez	3	22.72138	1.59951
VerbičDušan	3	55.96366	3.93966
BenetMiha	3	6630.7142	466.78077
NussdorferVlasta	3	283.50297	19.95769
LahZvonko	3	40.01108	2.81665
ZverMilan	3	313.6729	22.08155
JuriLuka	3	187.81418	13.22151
PavlihaMarko	3	131.82746	9.28023
MogeRudolf	3	36.32229	2.55697
KremžarLeopold	3	174.46248	12.28159
OmerzaIgor	2	410.44815	28.89422
BaumanJasna	2	7944.74276	559.28412
PetekMiro	2	105.69778	7.44078
ŽvegličRoman	2	270.78929	19.06269
ZalarAleš	2	105.4792	7.42539
KlobasaAndrej	2	8661.70735	609.7561
JuriFranco	2	49.52627	3.48649
TiselŠtefan	2	297.83728	20.96678
OpecJasmina	2	326.18515	22.96238
VeselTomaž	2	190.5779	13.41607
KomelTina	2	1305.32507	91.89065
BattelliRoberto	2	58.55738	4.12225
LipičLadislav	2	1754.26984	123.49491
LemutStrleRosana	2	2428.44688	170.95478
KrambergerJanez	2	64.58039	4.54625
FerlugaMarko	2	85.52841	6.02092
KušarŠtefan	2	574.31875	40.43018
MariničBranko	2	110.27812	7.76322
PetkovićTanja	2	15299.0846	1077.00592
PrimcAleš	2	243.6465	17.15192
ČuferAndrej	2	5769.78069	406.17384
StančičZoran	2	332.20379	23.38607
LobnikFranc	2	750.68436	52.84574
BakovićPredrag	2	76.03377	5.35253
PogorelecBreda	2	7734.9306	544.51402
PavlišičMarko	2	204.708	14.41078
SimonovičBranko	2	129.8055	9.13789
KovačičAljaž	2	92.30239	6.49779
ZanoškarMatjaž	2	135.48892	9.53798
AuserFlorjan	2	76992.95421	5420.0542
ŽnidaršičFranc	2	56.45778	3.97444
FerrariFlorence	2	5444.69147	383.28862
DeklevaErika	2	300.58826	21.16044
RibičičCiril	2	32.58634	2.29397
SvilanSibil	2	174.23921	12.26588
KrivicMatevž	2	587.62307	41.36676
PečekIgor	2	99.04305	6.97231
GuličAleš	2	92.09594	6.48326
PodkrajšekBojan	2	67.26632	4.73533
KatičAndreja	2	77.43764	5.45136
MaroltMedenBiserka	2	1367.79164	96.28809
MaurovičNina	2	353.59628	24.89203
BertonceljAndrej	2	266.80941	18.78252
HalbJanko1957	2	337.88117	23.78574
MoškričJanez	2	237.30705	16.70565
KopmajerBenedikt	2	475.289	33.4588
VajglIvo	2	269.13218	18.94603
MagajnaAndrej	2	102.94668	7.24711
SimšičDanica	2	114.67089	8.07246
KrižmanMarijan	2	219.5413	15.455
KamnarHelena	2	101.63886	7.15505
VeršnikRudi	2	157.38177	11.07917
KresalKatarina	2	273.0719	19.22338
MencingerTomažTom	2	783.92981	55.18612
KosMaja	2	11145.70424	784.62142
VeberJanko	2	10.77098	0.75824
PučnikJože	2	153.92501	10.83582
PotočnikJanez	2	100.48136	7.07356
KavčičBlaž	2	125.67137	8.84686
DrobničJanez	2	31.67954	2.23014
KebričIvan	2	102.15967	7.19171
SovičBoris	2	82.44386	5.80378
PoljšakMarijan	2	115.6634	8.14233
CotmanMarjeta	2	458.08449	32.24766
FouereErwan	1	1563.76046	110.08366
MlakarAleš	1	3391.88158	238.77746
DodičFikfakMetoda	1	895.15408	63.01594
KekFranci	1	276.42492	19.45942
ZornAleksander	1	133.08226	9.36856
PonomarenkováEva	1	4849.84638	341.41345
ČularPatricia	1	779.99122	54.90885
KampušAnton	1	134.72562	9.48425
YoungJohnny	1	5425.97405	381.97097
DeželakJanko	1	179.23186	12.61734
TurkŽiga	1	116.3407	8.19001
VozeljAnton	1	12809.01718	901.71326
KržišnikBukićVera	1	3606.29603	253.87154
LukšičHacinMarina	1	4956.45501	348.91835
ArehLavričSonja	1	630.83755	44.40892
PintarEmilMilan1944	1	67.12757	4.72556
MarinkovičDarko	1	9975.56183	702.24719
ČehovinJožef	1	107.63554	7.57719
HočevarKatarina	1	87.22178	6.14013
PosediJanez	1	248.12143	17.46694
RejcIzidor	1	13.48515	0.94931
PirnatNina	1	217.5875	15.31745
KoprivnikarHelena	1	6350.11178	447.02727
SchiffrerMarijan	1	104.99582	7.39137
MaherIgor	1	677.24434	47.6758
BizjakJanez	1	4146.29307	291.88558
UdovčMateja	1	46.56985	3.27837
BaluhStanko	1	198.39942	13.96668
GrlićJadranko	1	530.61896	37.35385
PotočnikAlojzij	1	131.33627	9.24565
HenigmanBenjamin	1	40.11646	2.82407
RibičJanez	1	56.57887	3.98297
KeleminaBranko	1	14.23673	1.00222
KotnikPoropatMarjana	1	55.45267	3.90369
MaršičDorijan	1	151.14327	10.64
FrelihLeopold1945	1	336.24163	23.67032
PotisekKlemen	1	218.966	15.4145
ŠkopacMaruša	1	345.69259	24.33564
KunsteljTone	1	7913.76047	557.10306
ProsenGregor	1	1358.43933	95.62972
LevičarMarinka	1	160.01893	11.26481
StoparStanislava	1	857.75014	60.38283
FakinSamo	1	153.82416	10.82872
JelovacDejan	1	812.98003	57.23116
PotočanBojana	1	325.57585	22.91948
PiberlDarja	1	1995.39262	140.46917
ZoreDušan	1	4395.17328	309.40594
HoneySophie	1	3931.69113	276.7783
SmodišBranko	1	847.3634	59.65163
MirtPeter	1	2303.42145	162.1534
KlunMiroslav	1	382.31241	26.91355
StrnišaTanja	1	27.69083	1.94934
ErjavecKarlViktor	1	22.09392	1.55534
MladenovičZoran	1	594.23552	41.83225
ZormanBranko	1	100.00915	7.04032
IvanRahtenMartin	1	3096.16392	217.9599
DolčičTone	1	426.55697	30.02823
KalanŽivčecGordana	1	920.8012	64.82142
LenarčičJanez	1	291.35884	20.51072
KosSaša	1	361.56587	25.45306
LepŠimenkoSuzana	1	51.07818	3.59574
ShakerKamalIzidor	1	51.4864	3.62448
BačičMarija	1	96.4431	6.78928
MarnPeter	1	1143.55177	80.50233
PrelesnikMojca	1	177.40977	12.48907
BohteBorut	1	1461.13969	102.85949
OgrizekAleksander	1	6203.14413	436.68122
KozoleBoštjan	1	1634.66054	115.0748
TašnerVatovecMatej	1	14.51074	1.02151
GučekZakošekMargareta	1	164.67697	11.59272
ZabretAndreja	1	68.25715	4.80508
PetavarDobovšekDamijana	1	274.07293	19.29385
BrejcDušan	1	1759.37578	123.85435
StepišnikStanko	1	80.11686	5.63997
SadovnikBernard	1	657.86135	46.3113
ValentinčičDejan	1	486.64611	34.25831
VilfanPeter	1	114.89441	8.08819
HavelVaclav	1	30417.98726	2141.32762
ČepičBogdan	1	34.88413	2.45573
KolešaAnita	1	98.22771	6.91491
StrleFranc	1	3205.14442	225.63177
UršičCveto	1	179.39256	12.62865
RibičMilan	1	12130.8284	853.97096
ŠirokMajda	1	5586.00081	393.23634
ŠuštarZalarTadeja	1	474.82034	33.42581
RenkoJanez	1	3707.96138	261.02845
JankoJaniMöderndorfer	1	21.1868	1.49148
BučarFrance	1	47.41927	3.33816
BernikJožef	1	54.9873	3.87093
DeBourmontChantal	1	3009.57628	211.86441
KošorokBlaž	1	201.88451	14.21201
JenkoJana	1	179.44468	12.63232
PeršaMarijan	1	40470.65542	2849.00285
RemškarJanez	1	862.22762	60.69803
JožefČesnikPeter	1	233.66122	16.44899
KraljPeter	1	1341.25201	94.41979
PodgoršekJože	1	56.029	3.94426
BručanAndrej	1	61.94002	4.36038
OmanIrena	1	280.30862	19.73282
SmoleKarel	1	6173.48981	434.59365
MedvedAna	1	467.4147	32.90448
BulcVioleta	1	117.49351	8.27116
BizjakMlakarJulijana	1	31.11566	2.19044
KoširManca	1	46120.77939	3246.75325
MurgelJasna	1	57.59441	4.05446
RajhAndrej	1	24.37908	1.71621
ButBrane	1	1802.23294	126.87135
PavlinBlaž	1	84.25685	5.93141
ReberšekAleksander	1	67.49275	4.75127
GaiserLaris	1	2401.14943	169.03313
ZlobecLukičJaša	1	99.81169	7.02642
GolubovićBrane	1	111.4212	7.84369
LipičKarel	1	255.86657	18.01218
SeleznjovGenadij	1	7500.10562	527.9831
PivecAleksandra	1	101.40994	7.13893
ŠoltesIgor	1	122.53045	8.62575
KuclerDolinarMojca	1	33.617	2.36653
ŽagarIvan	1	60.11027	4.23157
LukšičIgor	1	98.73979	6.95096
DularJanez	1	704.34352	49.5835
KerševanErik	1	804.46257	56.63156
ŠiftarDrago	1	262.85482	18.50413
MahničŽan	1	18.4378	1.29796
ŠlahtaŠtefan	1	18889.89369	1329.78723
KekecBojan	1	460.14707	32.39286
StošickiNatalija	1	5350.35784	376.64783
PregeljŽarko	1	15.20274	1.07022
LebenJure	1	237.0536	16.6878
HainzPrimož	1	42.73102	3.00812
AbadjievDimitar	1	4651.34252	327.43942
MajesBojan	1	4818.58889	339.21303
PavličAlenka	1	121.38292	8.54496
SzentIványiIstván	1	4227.73811	297.61905
KalanMaksimiljan	1	16536.90344	1164.14435
GjerkešHenrik	1	202.99813	14.29041
BaškovičMilan	1	56.68996	3.99079
ŠukljeBorut	1	252.0127	17.74088
PotočnikViktorija	1	163.14127	11.48462
TrebecIgor	1	4050.52753	285.144
ŠtebeTomaž	1	68.20537	4.80144
ČrnakMegličAndreja	1	27.8278	1.95899
ŽarnićRoko	1	117.32078	8.259
MilosavljevićMarko	1	2087.77191	146.97237
SmolleKarl	1	6613.22163	465.54935
JackovichVictor	1	9266.27531	652.31572
BukovnikAlan	1	407.76186	28.70511
AvšičJože	1	44.02665	3.09933
GačnikGoran	1	6062.82546	426.80324
GyörekMiran	1	72.53806	5.10644
ŠoncDarko	1	2403.58715	169.20474
VeberHartmanZvezdana	1	2076.48005	146.17746
LuciMiroslav	1	35.03495	2.46635
MagičJasna	1	4639.19009	326.58393
BriceljMitja	1	538.035	37.87592
ŽibernaDarko	1	243.46068	17.13884
UhanMarjetka	1	68.17656	4.79941
HrastnikTanja	1	31220.21989	2197.8022
ČadežMilan	1	349.61483	24.61175
AndreličAnton	1	129.18281	9.09405
JeršičTomaž	1	545.78707	38.42164
StarmanBojan	1	19.5114	1.37354
MateDragutin	1	50.10988	3.52757
CapelloRoberto	1	3382.99596	238.15194
ZamernikBogomir	1	82.40058	5.80073
BanovecTomaž	1	318.38089	22.41298
SušnikFranc	1	29.75135	2.0944
KrajncMiran	1	3854.87111	271.37042
LukačičMarija	1	244.83704	17.23573
MajnikLidija	1	164.00582	11.54548
KeberDusan	1	63.39258	4.46263
JerajJožef	1	587.13731	41.33256
LekšeNevenka	1	1426.79792	100.44194
VnučecBogomir	1	146.95896	10.34543
VučkoDušan	1	36.3205	2.55685
PohorecValentin	1	47.73894	3.36067
DrnovšekJanez	1	67.97917	4.78551
BogovičFranci	1	1923.52066	135.40961
AvberšekFranc	1	140.91901	9.92024
PozsonecMaria	1	52.07967	3.66624
KalinTomaž	1	1643.35956	115.68718
MilatovičJurij	1	533.28829	37.54177
VrhunecSimon	1	334.79142	23.56823
KraševecVekoslava	1	4411.55281	310.55901
CerarZdenka	1	236.98242	16.68279
SimonitiIztok	1	1121.52219	78.95152
GaspariniMario	1	101.77759	7.16481
LešnikZoran	1	62.71362	4.41484
KopšeJožef	1	69.31259	4.87938
KladošekRoman	1	1970.20805	138.69626
ČuljkovićDragana	1	2593.13619	182.54838
HorvatFranc	1	10.88499	0.76627
DemšarFranci	1	272.54797	19.18649
MolanNives	1	36237.75523	2551.02041
LogarMihaela	1	238.49034	16.78895
KovačArhAlenka	1	481.4506	33.89256
BavčarIgor	1	48.37525	3.40546
DemšarVincencij	1	23.82192	1.67699
BrudarBožidar	1	5188.16656	365.23009
FeltrinFranci1943	1	224.00732	15.76939
ŠpiletičBogomir	1	29.66691	2.08845
GruenfeldAdam	1	8757.82987	616.52281
KnaubertŠorliNataša	1	3351.8641	235.96036
ArharFrance	1	112.39625	7.91233
KrofličMarjan	1	27317.69241	1923.07692
SmrkoljCiril	1	62.23636	4.38124
MakViljem1937	1	1171.56289	82.47423
SkukNada	1	119.32029	8.39976
BiziljLjerka	1	693.68103	48.83289
JugJanez	1	143.38114	10.09357
MartinezMiguelAngel	1	3889.70429	273.82256
ZagoženFranc	1	33.33279	2.34652
DobrajcPolonca	1	181.03407	12.74421
ŠešerkoLeo	1	79.41944	5.59087
GajsekJanez	1	1182.28881	83.2293
ZakeljViktor	1	173.39909	12.20673
CapuderAndrej1942	1	847.00972	59.62674
Speaker name	Frequency	Relative density	Relative in text types
Pojbič, Marijan	52	724.37842	50.99389
Bratušek, Alenka	49	612.04168	43.08575
Tanko, Jože	36	161.63217	11.37838
Kociper, Maša	33	479.89312	33.78292
Trček, Franc	32	213.13128	15.00375
Lisec, Tomaž	29	340.723	23.98579
Han, Matjaž	27	401.14044	28.23899
Tomić, Violeta	27	316.07381	22.25057
Horvat, Jožef	26	130.70523	9.20122
Nemec, Matjaž	23	502.36422	35.36481
Pavlinič Krebs, Irma	22	283.25886	19.9405
Gorenak, Vinko	22	146.66804	10.32495
Tonin, Matej	21	325.20176	22.89315
Pukšič, Franc	20	201.61789	14.19325
Potrč, Miran	20	87.68117	6.17247
Černač, Zvonko	19	151.14919	10.64041
Heferle, Tina	18	452.73774	31.87127
Möderndorfer, Jani	18	143.98686	10.13621
Vizjak, Andrej	18	106.38771	7.48935
Gašpar Mišič, Gašpar	17	935.40695	65.84961
Neidentificiran govornik	17	51.74529	3.6427
Pahor, Borut	16	148.6298	10.46306
Širca Ravnikar, Majda	16	215.41553	15.16455
Petan, Rudolf	16	117.48677	8.27069
Grims, Branko	16	78.35436	5.51589
Jerovšek, Jožef	15	90.26755	6.35454
Anderlič, Anton	15	109.86058	7.73383
Brulc, Mirko	14	610.01868	42.94334
Podobnik, Janez	14	87.46817	6.15748
Mesec, Luka	14	165.44195	11.64658
Logar, Anže	14	259.5136	18.26892
