method name: freqs			
corpus: trendi			
subcorpus: -			
concordance size: 2980			
"query: Query:([lemma=""""naš""""][]{1,3}[lemma=""""vaš""""])|([lemma=""""vaš""""][]{1,3}[lemma=""""naš""""])within<s/>"			
text.topic	Frequency	Relative density	Relative in text types
2023-05-21	2	239.91245	5.57117
2020-07-12	2	266.68156	6.19279
2019-05-18	2	214.90609	4.99048
2021-05-25	2	155.157	3.60301
2025-01-06	2	170.85997	3.96766
2020-01-17	2	214.11325	4.97207
2023-12-23	2	264.79576	6.149
2020-06-06	2	267.2766	6.20661
2024-06-16	2	231.34848	5.3723
2024-01-05	2	199.56025	4.63412
2025-04-08	2	149.29227	3.46682
2026-03-15	2	234.31231	5.44113
2025-03-18	2	138.50832	3.2164
2020-04-22	2	164.36934	3.81693
2019-05-25	2	223.64397	5.19339
2020-11-01	2	266.10808	6.17948
2021-11-22	2	323.75794	7.5182
2024-09-18	2	140.4884	3.26238
2025-04-05	2	228.07391	5.29626
2025-05-31	2	217.95657	5.06132
2022-09-06	2	154.09104	3.57825
2024-10-24	2	127.50552	2.96089
2025-01-24	2	137.33028	3.18904
2025-03-27	2	120.406	2.79603
2023-08-09	2	188.46124	4.37639
2019-04-23	2	195.1776	4.53235
2019-03-20	2	188.94083	4.38752
2022-01-03	2	197.10861	4.57719
2025-11-25	2	161.08993	3.74078
2025-04-11	2	166.24698	3.86053
2023-09-03	2	220.89416	5.12953
2021-07-25	2	268.97692	6.2461
2024-08-29	2	159.66218	3.70762
2021-05-27	2	147.69878	3.42981
2025-07-18	2	200.54536	4.657
2023-04-22	2	210.16745	4.88044
2021-11-25	2	136.98299	3.18098
2026-01-21	2	155.54257	3.61196
2024-09-04	2	149.94701	3.48202
2024-02-06	2	139.53449	3.24023
2026-02-25	2	168.53824	3.91374
2021-04-12	2	155.76227	3.61706
2022-05-11	2	146.39282	3.39949
2022-10-03	2	141.22649	3.27952
2022-05-21	2	213.0592	4.94759
2024-04-06	2	201.38144	4.67642
2024-08-03	2	259.25682	6.02038
2024-06-03	2	106.57389	2.47482
2022-06-29	2	143.33189	3.32841
2024-01-17	2	158.59261	3.68279
2026-05-08	2	164.11814	3.8111
2023-04-26	2	167.54383	3.89065
2023-05-10	2	126.85946	2.94589
2020-01-07	2	206.00807	4.78385
2026-02-27	2	174.18805	4.04494
2021-02-04	2	141.62826	3.28885
2025-03-03	2	141.24664	3.27998
2024-05-01	2	260.57221	6.05092
2023-06-01	2	153.48416	3.56416
2025-06-23	2	100.81318	2.34105
2025-02-27	2	135.19887	3.13954
2024-02-23	2	175.27099	4.07009
2024-09-10	2	152.99422	3.55278
2026-05-23	2	223.06647	5.17998
2025-12-27	2	293.51804	6.81598
2026-05-25	2	157.51047	3.65766
2021-08-20	2	174.71171	4.0571
2026-03-22	2	188.3199	4.3731
2021-10-11	2	234.3933	5.44301
2025-12-26	2	313.30088	7.27537
2024-04-05	2	158.42108	3.6788
2022-05-27	2	160.32944	3.72312
2024-05-17	2	156.69119	3.63863
2021-06-10	2	178.0667	4.13501
2021-11-04	2	142.74559	3.31479
2019-12-01	2	246.65757	5.7278
2024-11-04	2	154.44916	3.58657
2024-01-12	2	160.96108	3.73779
2025-12-11	2	166.47803	3.8659
2022-09-30	2	138.19695	3.20917
2024-03-23	2	234.31167	5.44111
2022-10-24	2	153.05376	3.55417
2023-04-20	2	153.54573	3.56559
2025-11-30	2	234.59121	5.4476
2022-03-17	2	142.96477	3.31988
2021-05-26	2	151.11965	3.50925
2024-05-07	2	145.78843	3.38545
2021-06-25	2	192.75415	4.47608
2026-03-07	2	243.68181	5.6587
2025-07-11	2	160.74058	3.73267
2025-06-06	2	165.93789	3.85336
2023-11-21	2	157.90929	3.66692
2024-01-27	2	189.14914	4.39236
2025-05-15	2	145.8183	3.38615
2023-02-13	2	154.23812	3.58167
2023-06-17	2	185.38992	4.30507
2019-02-15	2	200.99935	4.66754
2025-08-08	2	206.69826	4.79988
2022-08-11	2	177.79211	4.12863
2019-04-04	2	190.14761	4.41555
2024-10-04	2	143.09565	3.32292
2022-04-07	2	141.63618	3.28903
2022-12-26	2	274.49337	6.3742
2024-08-27	2	158.97932	3.69177
2021-03-31	2	137.01764	3.18178
2024-07-10	2	173.35117	4.02551
2024-06-19	2	150.61726	3.49759
2020-12-24	2	159.34876	3.70035
2024-03-22	2	170.21097	3.95258
2024-06-01	2	219.95038	5.10762
2019-07-18	2	202.53315	4.70316
2024-06-13	2	161.13333	3.74179
2024-05-15	2	159.14206	3.69555
2024-05-19	2	225.82952	5.24414
2023-01-06	2	163.47208	3.7961
2019-06-07	2	202.23781	4.6963
2024-05-27	2	153.75296	3.5704
2025-02-10	2	144.85033	3.36367
2024-04-13	2	213.85539	4.96608
2022-06-11	2	210.25518	4.88248
2023-10-31	2	271.62788	6.30766
2024-04-28	2	233.31133	5.41788
2024-04-07	2	236.8381	5.49978
2024-04-08	2	176.30502	4.0941
2019-01-02	2	326.53697	7.58274
2020-06-08	2	187.92051	4.36383
2023-07-09	2	295.85013	6.87014
2021-05-16	2	201.4667	4.6784
2019-06-05	2	169.95134	3.94656
2024-02-08	2	188.75656	4.38324
2024-02-07	2	140.68966	3.26705
2020-12-14	2	151.9834	3.52931
2023-12-06	2	148.26962	3.44307
2023-12-01	2	151.45076	3.51694
2023-12-11	2	153.71043	3.56941
2025-03-06	2	111.96415	2.6
2023-11-11	2	203.42483	4.72387
2023-10-20	2	129.90624	3.01664
2023-04-11	2	149.79574	3.47851
2021-10-02	2	224.08912	5.20373
2023-10-16	2	139.30136	3.23481
2023-12-08	2	145.71172	3.38367
2023-09-27	2	153.70055	3.56919
2025-05-14	2	155.75044	3.61679
2023-09-22	2	176.48312	4.09823
2022-04-16	2	203.34942	4.72212
2023-08-11	2	198.4539	4.60843
2022-04-02	2	205.16351	4.76424
2023-07-27	2	204.77522	4.75522
2022-08-23	2	164.89046	3.82903
2023-06-10	2	191.7188	4.45203
2020-04-02	2	153.96487	3.57532
2023-05-08	2	303.60945	7.05032
2023-05-15	2	155.9696	3.62188
2021-10-07	2	136.77937	3.17625
2025-04-01	2	148.43776	3.44697
2020-06-17	2	179.10167	4.15904
2020-06-10	2	168.59961	3.91517
2020-05-25	2	178.5862	4.14707
2020-05-08	2	190.23287	4.41753
2020-05-29	2	164.66946	3.8239
2020-05-02	2	302.44413	7.02326
2020-04-30	2	177.63297	4.12494
2020-04-16	2	155.12319	3.60222
2020-04-25	2	221.97872	5.15472
2020-04-06	2	149.23691	3.46553
2020-04-17	2	172.48464	4.00538
2020-03-28	2	220.42887	5.11873
2019-09-11	2	204.8551	4.75708
2020-02-14	2	198.1334	4.60099
2020-02-24	2	195.05914	4.5296
2020-02-29	2	213.98345	4.96906
2020-01-04	2	310.40571	7.20814
2019-12-10	2	207.67965	4.82267
2019-09-16	2	209.61349	4.86758
2019-12-04	2	191.14778	4.43877
2019-11-11	2	169.94866	3.94649
2019-09-03	2	217.61458	5.05338
2019-10-09	2	192.34692	4.46662
2019-09-17	2	210.23825	4.88209
2019-09-25	2	190.20934	4.41698
2019-09-18	2	216.41542	5.02553
2019-08-02	2	244.37323	5.67476
2019-08-25	2	296.40911	6.88312
2019-08-22	2	256.23785	5.95027
2019-07-20	2	272.37437	6.32499
2019-07-23	2	261.89624	6.08167
2019-06-10	2	190.67086	4.4277
2019-06-27	2	197.72493	4.59151
2019-05-17	2	200.29444	4.65117
2019-01-08	2	187.80986	4.36126
2019-01-12	2	227.53103	5.28365
2019-01-29	2	201.91967	4.68891
2019-01-30	2	176.44877	4.09744
2020-07-22	1	91.2184	2.11824
2020-07-01	1	97.24677	2.25823
2021-02-14	1	87.98087	2.04306
2020-08-21	1	115.34767	2.67857
2020-09-30	1	71.55008	1.66151
2020-08-04	1	108.06895	2.50954
2020-09-10	1	82.21228	1.90911
2023-11-01	1	148.51788	3.44883
2020-09-22	1	83.89023	1.94807
2020-09-26	1	112.62094	2.61525
2022-11-23	1	70.23629	1.631
2020-09-03	1	77.85396	1.8079
2024-12-31	1	107.75931	2.50235
2020-09-25	1	79.60324	1.84852
2020-09-16	1	80.29252	1.86453
2019-08-19	1	126.10792	2.92844
2024-11-14	1	61.14943	1.41999
2020-10-13	1	76.79573	1.78333
2020-03-15	1	112.09998	2.60315
2020-10-31	1	105.30884	2.44545
2022-11-24	1	72.31935	1.67938
2019-03-28	1	98.8484	2.29543
2020-10-29	1	84.08467	1.95259
2020-10-06	1	74.21236	1.72334
2020-10-14	1	76.4679	1.77571
2020-11-20	1	67.63713	1.57065
2020-11-02	1	80.99277	1.88079
2021-04-10	1	113.06774	2.62562
2020-11-25	1	71.50898	1.66056
2024-04-03	1	74.63177	1.73308
2020-11-19	1	69.56023	1.61531
2023-05-20	1	104.1175	2.41778
2020-11-18	1	66.04665	1.53371
2020-11-23	1	76.76958	1.78272
2022-07-28	1	93.64416	2.17457
2020-12-20	1	52.81749	1.22651
2020-12-25	1	130.74297	3.03607
2020-12-07	1	80.64814	1.87279
2020-12-02	1	73.70643	1.71159
2020-12-26	1	122.63828	2.84787
2020-12-28	1	78.51701	1.8233
2024-02-26	1	81.51356	1.89288
2021-01-08	1	90.84451	2.10956
2021-01-22	1	67.23552	1.56132
2020-08-11	1	103.2671	2.39804
2021-02-23	1	72.72618	1.68882
2021-02-06	1	97.5815	2.26601
2021-03-19	1	74.98499	1.74128
2021-03-07	1	102.41732	2.3783
2020-02-11	1	101.35285	2.35358
2021-04-05	1	117.13608	2.7201
2022-05-17	1	76.20471	1.7696
2021-04-06	1	82.37836	1.91296
2021-05-04	1	96.22762	2.23457
2023-12-21	1	76.36268	1.77327
2021-05-24	1	117.94358	2.73885
2021-05-12	1	78.31297	1.81856
2021-05-05	1	72.19943	1.67659
2021-05-29	1	103.81679	2.4108
2021-06-02	1	93.59857	2.17352
2021-06-07	1	99.09565	2.30117
2021-12-17	1	68.18524	1.58338
2021-07-02	1	115.84476	2.69011
2020-10-22	1	76.18988	1.76926
2021-07-28	1	92.24957	2.14219
2021-07-26	1	106.77234	2.47943
2019-07-02	1	103.90747	2.41291
2021-06-17	1	87.36259	2.02871
2021-07-27	1	107.77117	2.50263
2020-10-09	1	83.69263	1.94348
2021-08-11	1	97.36264	2.26092
2021-06-22	1	100.0502	2.32333
2021-08-09	1	92.23416	2.14183
2021-08-03	1	108.80124	2.52655
2021-08-21	1	117.45044	2.7274
2023-06-27	1	86.82343	2.01619
2020-08-28	1	95.31581	2.21339
2021-09-14	1	78.61448	1.82556
2021-09-29	1	74.01936	1.71885
2022-04-18	1	115.52962	2.68279
2019-08-27	1	677.23285	15.72648
2021-09-23	1	74.39621	1.72761
2025-09-08	1	83.56919	1.94062
2021-09-03	1	78.9558	1.83349
2023-04-25	1	82.11462	1.90684
2021-09-27	1	188.28326	4.37225
2020-09-21	1	78.52346	1.82345
2021-09-01	1	74.99074	1.74141
2022-09-19	1	80.28369	1.86432
2023-06-29	1	91.6931	2.12927
2021-03-05	1	81.2121	1.88588
2024-10-11	1	72.92026	1.69333
2021-01-09	1	114.91734	2.66857
2019-03-12	1	97.60406	2.26653
2019-02-02	1	124.89003	2.90016
2021-09-22	1	80.24927	1.86352
2021-10-18	1	68.58137	1.59257
2021-10-03	1	100.34979	2.33029
2019-10-07	1	104.11473	2.41772
2021-05-31	1	87.12768	2.02325
2021-04-04	1	122.56882	2.84625
2021-11-02	1	135.6236	3.14941
2021-07-22	1	105.59107	2.452
2019-01-10	1	81.65049	1.89606
2021-10-21	1	69.71439	1.61889
2021-11-24	1	68.37904	1.58788
2021-12-21	1	79.96926	1.85702
2021-12-30	1	82.75132	1.92162
2019-02-24	1	132.22836	3.07056
2021-12-13	1	153.74116	3.57013
2021-12-09	1	67.80742	1.5746
2023-02-12	1	107.17146	2.4887
2023-03-25	1	105.61256	2.4525
2021-12-06	1	139.53562	3.24025
2020-08-08	1	137.68682	3.19732
2020-12-27	1	118.48649	2.75146
2021-08-05	1	85.08144	1.97573
2021-12-05	1	99.27842	2.30541
2022-01-23	1	100.81329	2.34105
2024-07-04	1	87.17901	2.02444
2022-01-31	1	75.08763	1.74366
2022-08-24	1	85.53094	1.98617
2021-06-05	1	117.00718	2.7171
2022-01-14	1	77.58801	1.80172
2020-10-07	1	80.65283	1.87289
2022-01-17	1	76.73907	1.78201
2019-05-04	1	136.55426	3.17102
2022-01-12	1	79.58309	1.84805
2020-11-21	1	98.27474	2.2821
2022-02-26	1	92.2071	2.1412
2022-02-04	1	76.06324	1.76632
2022-02-10	1	75.15761	1.74529
2026-05-30	1	110.39074	2.56346
2021-05-09	1	97.20046	2.25716
2022-03-29	1	74.13787	1.72161
2022-03-10	1	75.01138	1.74189
2022-07-17	1	113.30812	2.63121
2022-03-20	1	89.7038	2.08307
2022-03-06	1	112.66956	2.61638
2024-08-21	1	92.21974	2.1415
2022-03-22	1	76.01303	1.76515
2021-08-27	1	89.45429	2.07728
2021-09-19	1	95.43241	2.2161
2022-04-27	1	114.93482	2.66898
2024-01-04	1	85.5216	1.98596
2021-05-10	1	147.52372	3.42575
2022-04-23	1	114.28482	2.65389
2022-04-25	1	82.23363	1.9096
2023-12-27	1	100.13418	2.32528
2022-04-17	1	114.18845	2.65165
2021-08-31	1	79.67851	1.85027
2022-05-19	1	79.21797	1.83957
2022-08-03	1	91.56715	2.12634
2021-04-28	1	88.93773	2.06528
2025-09-06	1	113.36987	2.63264
2023-10-27	1	77.52752	1.80032
2022-05-06	1	78.25903	1.81731
2022-06-13	1	82.88319	1.92469
2022-06-04	1	109.92803	2.55271
2025-02-03	1	72.51956	1.68403
2022-06-08	1	72.38973	1.68101
2022-06-25	1	116.03142	2.69444
2020-11-29	1	126.57012	2.93917
2022-06-07	1	79.12278	1.83736
2022-06-21	1	54.32554	1.26153
2022-10-02	1	98.08671	2.27774
2020-10-04	1	110.71371	2.57096
2025-01-21	1	65.62862	1.52401
2022-06-28	1	86.02129	1.99756
2025-09-15	1	65.82263	1.52851
2020-12-18	1	77.2333	1.79349
2020-03-04	1	89.40118	2.07605
2022-07-27	1	97.82912	2.27176
2022-09-22	1	69.76148	1.61998
2022-07-18	1	90.59815	2.10384
2021-12-11	1	94.2232	2.18802
2022-07-07	1	80.10477	1.86017
2022-07-22	1	89.31236	2.07398
2022-07-25	1	95.47007	2.21698
2022-02-27	1	99.04301	2.29995
2023-10-15	1	136.9033	3.17912
2021-02-11	1	77.40294	1.79743
2022-08-17	1	88.04455	2.04454
2020-02-26	1	105.91101	2.45943
2022-08-31	1	68.90444	1.60008
2020-12-08	1	80.9477	1.87974
2026-04-22	1	82.54812	1.91691
2019-11-12	1	90.21798	2.09501
2022-09-14	1	77.17531	1.79214
2022-09-25	1	106.51063	2.47336
2021-11-13	1	101.21373	2.35035
2022-09-24	1	107.51743	2.49674
2025-12-25	1	166.44393	3.86511
2022-09-23	1	79.75436	1.85203
2022-10-14	1	69.97084	1.62484
2026-04-12	1	119.65458	2.77858
2019-01-03	1	111.13114	2.58065
2022-08-06	1	128.992	2.99541
2022-10-20	1	66.36401	1.54108
2022-11-26	1	132.32994	3.07292
2021-04-21	1	73.24434	1.70086
2022-11-22	1	74.02025	1.71887
2024-01-02	1	151.41188	3.51604
2022-11-18	1	74.83826	1.73787
2022-11-07	1	79.12336	1.83738
2019-09-13	1	111.27184	2.58392
2022-07-05	1	84.72056	1.96735
2025-05-25	1	105.49717	2.44982
2022-11-20	1	88.93314	2.06518
2022-11-06	1	115.96612	2.69293
2022-11-29	1	86.88053	2.01751
2022-11-16	1	66.84747	1.55231
2024-02-11	1	105.12759	2.44124
2022-11-27	1	122.89763	2.85389
2021-11-26	1	77.41686	1.79775
2022-11-01	1	139.83195	3.24713
2026-03-16	1	80.50552	1.86947
2021-04-18	1	93.05089	2.1608
2022-03-01	1	73.10918	1.69772
2020-10-02	1	84.26401	1.95675
2022-12-02	1	100.33599	2.32997
2020-11-26	1	73.77955	1.71329
2021-10-19	1	72.31194	1.6792
2022-12-13	1	78.23074	1.81665
2025-01-02	1	132.20238	3.06996
2019-08-17	1	131.31388	3.04933
2022-12-06	1	97.06047	2.25391
2023-01-17	1	81.5659	1.8941
2022-10-01	1	112.56795	2.61402
2024-07-21	1	134.88486	3.13225
2023-01-23	1	82.402	1.91351
2022-10-05	1	65.17756	1.51353
2020-11-06	1	76.59644	1.7787
2023-02-15	1	70.5115	1.6374
2021-09-06	1	80.28294	1.8643
2020-11-13	1	71.46424	1.65952
2023-01-07	1	103.97797	2.41454
2022-02-08	1	105.62318	2.45275
2022-04-28	1	87.12081	2.02309
2023-02-10	1	85.52279	1.98598
2021-09-21	1	74.97285	1.741
2023-03-29	1	81.53995	1.89349
2023-03-13	1	80.26378	1.86386
2021-10-28	1	80.93583	1.87947
2024-10-14	1	72.86708	1.6921
2023-03-22	1	74.09463	1.7206
2019-08-13	1	117.37106	2.72555
2025-11-08	1	132.20603	3.07005
2020-11-17	1	69.76883	1.62015
2024-11-25	1	69.70976	1.61878
2023-05-28	1	102.49045	2.38
2021-05-17	1	184.41381	4.2824
2024-11-05	1	65.84608	1.52906
2024-06-28	1	88.37049	2.05211
2023-11-16	1	70.58674	1.63914
2024-12-13	1	75.90905	1.76274
2023-07-08	1	129.68423	3.01149
2021-05-15	1	104.41261	2.42464
2021-10-27	1	75.08383	1.74357
2026-04-16	1	81.20506	1.88572
2022-11-17	1	68.61186	1.59328
2024-11-01	1	135.75657	3.1525
2024-09-20	1	69.15707	1.60594
2025-11-03	1	90.09812	2.09223
2025-01-10	1	76.51845	1.77689
2025-12-15	1	88.37938	2.05232
2025-10-08	1	74.28623	1.72505
2023-09-30	1	105.19359	2.44277
2023-08-03	1	98.81483	2.29465
2022-07-11	1	84.42673	1.96053
2024-01-06	1	86.05309	1.9983
2024-02-20	1	82.60686	1.91827
2023-11-22	1	67.69422	1.57197
2025-01-27	1	70.4021	1.63486
2025-11-23	1	110.75187	2.57184
2023-07-21	1	111.52342	2.58976
2025-02-28	1	69.31067	1.60951
2025-03-24	1	66.60017	1.54657
2023-01-31	1	76.34535	1.77287
2022-05-04	1	73.67554	1.71087
2025-02-06	1	66.64635	1.54764
2026-02-20	1	84.95857	1.97288
2025-03-05	1	63.19488	1.46749
2021-09-24	1	79.82251	1.85361
2025-03-20	1	57.37439	1.33233
2025-10-26	1	109.68639	2.5471
2021-10-09	1	99.28597	2.30559
2023-07-18	1	101.88568	2.36596
2024-11-09	1	103.76376	2.40957
2024-11-26	1	69.05659	1.60361
2024-05-02	1	133.79359	3.10691
2026-04-25	1	140.93807	3.27282
2025-04-03	1	70.15905	1.62921
2023-11-14	1	80.80659	1.87646
2026-04-07	1	90.67045	2.10552
2019-01-26	1	98.15714	2.27937
2019-07-27	1	136.67605	3.17385
2021-01-12	1	75.76135	1.75931
2025-05-18	1	110.20682	2.55919
2020-12-10	1	80.227	1.86301
2024-12-04	1	73.78853	1.71349
2021-12-23	1	72.40604	1.68139
2025-01-12	1	102.44778	2.37901
2024-12-03	1	72.73453	1.68902
2024-07-15	1	101.92354	2.36684
2019-12-07	1	129.16456	2.99942
2024-10-07	1	69.11411	1.60495
2023-12-31	1	182.21719	4.23139
2021-09-02	1	78.2144	1.81627
2024-05-31	1	79.3242	1.84204
2025-03-23	1	91.09664	2.11542
2021-12-26	1	111.11766	2.58034
2021-08-19	1	90.4294	2.09992
2022-05-26	1	74.13711	1.72159
2026-01-16	1	92.6804	2.15219
2026-04-10	1	79.33692	1.84234
2023-06-09	1	78.06807	1.81287
2021-04-27	1	113.95488	2.64622
2025-06-18	1	78.49125	1.8227
2026-04-24	1	87.91747	2.04159
2025-06-08	1	149.69394	3.47614
2020-08-06	1	101.2085	2.35023
2025-06-09	1	88.2009	2.04817
2020-10-27	1	78.82919	1.83055
2025-01-30	1	62.1435	1.44308
2024-09-03	1	82.15535	1.90779
2020-02-13	1	89.64087	2.08161
2025-08-05	1	97.92367	2.27395
2024-12-11	1	66.78858	1.55094
2025-01-14	1	69.0204	1.60277
2020-10-26	1	82.05063	1.90535
2022-08-05	1	94.38221	2.19171
2025-04-09	1	70.57656	1.63891
2020-05-28	1	80.08556	1.85972
2023-06-16	1	77.54078	1.80063
2021-11-17	1	70.90554	1.64655
2023-07-29	1	135.03628	3.13577
2025-06-04	1	69.56865	1.6155
2020-08-15	1	141.8279	3.29348
2019-10-17	1	89.41194	2.0763
2025-10-21	1	80.53352	1.87012
2023-04-17	1	85.28955	1.98057
2024-07-02	1	92.42102	2.14617
2019-02-21	1	95.54293	2.21867
2026-02-28	1	100.28599	2.32881
2026-03-05	1	73.43632	1.70531
2024-10-08	1	72.68395	1.68784
2022-05-24	1	70.56176	1.63856
2019-05-21	1	100.06252	2.32362
2019-02-09	1	132.63358	3.07997
2026-02-08	1	107.46565	2.49553
2026-02-12	1	84.76091	1.96829
2023-01-05	1	79.83153	1.85382
2025-06-12	1	80.23552	1.8632
2020-06-30	1	75.80282	1.76027
2026-02-05	1	79.80727	1.85326
2019-04-05	1	92.70294	2.15272
2024-10-29	1	60.49494	1.40479
2026-02-15	1	116.50228	2.70538
2023-12-09	1	94.7844	2.20105
2024-03-13	1	72.38645	1.68094
2023-10-02	1	80.98256	1.88055
2023-08-27	1	102.58567	2.38221
2021-02-27	1	96.02356	2.22983
2022-07-09	1	121.57398	2.82315
2026-01-08	1	80.29237	1.86452
2024-04-15	1	86.73407	2.01411
2025-05-24	1	114.39077	2.65635
2024-03-04	1	78.54737	1.824
2025-11-20	1	74.39827	1.72765
2023-04-14	1	77.80754	1.80682
2025-06-27	1	74.9974	1.74157
2024-01-11	1	74.77238	1.73634
2025-03-26	1	63.64234	1.47788
2023-12-19	1	80.19323	1.86222
2019-11-14	1	90.37152	2.09858
2024-05-08	1	70.68998	1.64154
2025-08-31	1	99.23861	2.30449
2024-09-28	1	97.91009	2.27364
2022-09-29	1	69.6151	1.61658
2025-05-26	1	79.29367	1.84133
2019-05-15	1	86.82045	2.01612
2024-08-14	1	108.14684	2.51135
2021-02-09	1	67.74523	1.57316
2025-04-10	1	71.52584	1.66095
2024-11-21	1	61.90222	1.43747
2026-03-23	1	90.27358	2.0963
2024-03-15	1	77.17171	1.79206
2025-09-18	1	66.86906	1.55281
2020-01-08	1	103.64987	2.40692
2024-05-05	1	108.23436	2.51338
2023-10-24	1	71.33508	1.65652
2026-03-25	1	80.09107	1.85985
2025-11-26	1	80.352	1.86591
2025-07-19	1	127.63969	2.96401
2022-03-11	1	71.99074	1.67175
2026-02-13	1	86.41313	2.00666
2020-11-11	1	75.09968	1.74394
2021-01-20	1	74.31494	1.72572
2021-07-24	1	136.1902	3.16257
2022-12-10	1	100.0502	2.32333
2025-10-28	1	87.36614	2.02879
2025-06-20	1	86.75207	2.01453
2020-01-06	1	109.10391	2.53358
2026-03-14	1	106.27668	2.46792
2025-01-11	1	105.72951	2.45522
2023-06-14	1	79.91005	1.85565
2026-01-06	1	84.6616	1.96598
2026-05-03	1	123.14469	2.85963
2023-11-13	1	72.22765	1.67725
2026-05-24	1	117.2905	2.72368
2024-07-17	1	100.78616	2.34042
2021-02-16	1	80.26543	1.8639
2025-09-03	1	80.17278	1.86175
2025-01-23	1	74.6451	1.73338
2025-05-22	1	76.89378	1.7856
2025-06-16	1	83.24207	1.93302
2025-03-30	1	85.48391	1.98508
2019-01-20	1	126.22953	2.93126
2020-03-26	1	84.16388	1.95443
2022-06-06	1	85.29732	1.98075
2024-02-27	1	83.57	1.94064
2025-09-22	1	74.57981	1.73187
2023-07-31	1	125.77605	2.92073
2026-04-09	1	74.52561	1.73061
2024-05-21	1	77.61472	1.80234
2023-08-22	1	93.89899	2.18049
2025-03-21	1	67.15918	1.55955
2025-11-28	1	92.22073	2.14152
2024-02-04	1	120.78187	2.80476
2025-10-07	1	75.93167	1.76326
2021-01-15	1	69.81521	1.62123
2019-02-25	1	90.55662	2.10288
2021-01-10	1	104.03424	2.41585
2025-09-01	1	86.08905	1.99913
2024-06-07	1	69.13497	1.60543
2019-08-30	1	104.27204	2.42137
2025-08-06	1	105.55716	2.45121
2024-11-06	1	63.16874	1.46688
2023-04-05	1	70.28536	1.63214
2021-05-06	1	75.25862	1.74763
2025-04-30	1	106.68584	2.47742
2024-11-18	1	67.03905	1.55676
2024-01-01	1	147.54747	3.4263
2019-11-16	1	137.87285	3.20164
2023-09-09	1	98.25411	2.28163
2023-05-31	1	73.6642	1.71061
2026-04-29	1	87.29866	2.02722
2026-05-21	1	73.19977	1.69982
2025-08-21	1	84.58311	1.96416
2025-11-11	1	83.18065	1.93159
2022-02-23	1	78.06934	1.8129
2022-11-03	1	87.8771	2.04065
2024-03-07	1	70.31944	1.63294
2023-05-25	1	66.27545	1.53903
2023-08-16	1	112.58354	2.61438
2024-01-19	1	73.41003	1.7047
2019-04-24	1	95.60487	2.22011
2026-04-23	1	83.78398	1.9456
2025-03-16	1	97.3545	2.26074
2019-06-15	1	127.21737	2.9542
2025-12-04	1	88.82161	2.06259
2025-04-29	1	89.26996	2.073
2019-04-08	1	96.97064	2.25182
2025-03-01	1	88.93424	2.0652
2025-01-07	1	79.48614	1.8458
2026-01-26	1	75.90464	1.76263
2025-07-29	1	103.74151	2.40905
2025-02-17	1	75.38324	1.75053
2019-11-30	1	113.50075	2.63568
2020-08-23	1	158.61451	3.6833
2024-07-11	1	86.22367	2.00226
2025-02-22	1	89.87398	2.08702
2026-05-28	1	75.18897	1.74601
2022-12-05	1	98.93469	2.29743
2025-08-01	1	93.9982	2.1828
2024-12-25	1	151.10957	3.50902
2022-12-24	1	131.37998	3.05086
2023-07-07	1	103.86487	2.41192
2022-01-05	1	80.45498	1.8683
2019-10-18	1	94.92417	2.2043
2025-12-30	1	104.61528	2.42934
2021-02-20	1	90.55986	2.10295
2021-08-08	1	117.50108	2.72857
2023-02-05	1	113.72165	2.64081
2025-12-24	1	112.80621	2.61955
2021-02-05	1	68.03915	1.57998
2021-04-13	1	83.62112	1.94182
2025-11-01	1	139.14832	3.23126
2025-02-26	1	70.31761	1.63289
2021-05-13	1	77.20229	1.79277
2020-06-19	1	84.84508	1.97025
2022-01-15	1	103.79652	2.41033
2023-12-28	1	104.44528	2.42539
2024-10-22	1	71.83175	1.66805
2025-11-27	1	80.13891	1.86096
2024-03-06	1	71.8411	1.66827
2022-06-14	1	79.70918	1.85098
2025-12-28	1	142.30737	3.30462
2023-09-23	1	98.67716	2.29145
2025-05-16	1	82.25311	1.91006
2022-08-21	1	119.44549	2.77373
2024-12-09	1	75.9041	1.76262
2023-12-02	1	98.50426	2.28743
2025-10-10	1	84.10634	1.95309
2022-06-02	1	77.49153	1.79948
2022-09-05	1	70.90508	1.64654
2019-05-16	1	95.90252	2.22702
2020-07-24	1	93.76426	2.17736
2024-08-07	1	111.76249	2.59531
2019-07-05	1	107.81731	2.5037
2023-04-04	1	83.2572	1.93337
2025-09-11	1	69.87048	1.62251
2025-05-21	1	77.19924	1.7927
2024-05-16	1	84.60438	1.96466
2025-09-29	1	70.44356	1.63582
2025-09-19	1	74.91364	1.73962
2026-03-10	1	84.56052	1.96364
2025-09-25	1	65.02109	1.5099
2025-08-10	1	133.79567	3.10696
2023-05-07	1	109.53294	2.54354
2020-01-03	1	134.08645	3.11371
2023-10-10	1	82.81927	1.9232
2021-10-05	1	81.12597	1.88388
2021-12-28	1	88.51217	2.0554
2025-02-13	1	63.11495	1.46564
2019-12-12	1	97.02438	2.25307
2019-05-08	1	94.29355	2.18965
2020-11-27	1	75.86506	1.76171
2021-12-03	1	71.33922	1.65662
2024-10-30	1	95.74218	2.22329
2021-10-08	1	76.4861	1.77614
2020-11-14	1	101.99886	2.36858
2023-03-16	1	71.71643	1.66538
2024-09-22	1	95.36098	2.21444
2024-09-13	1	80.3457	1.86576
