method name: freqs			
corpus: trendi			
subcorpus: -			
concordance size: 2980			
"query: Query:([lemma=""""naš""""][]{1,3}[lemma=""""vaš""""])|([lemma=""""vaš""""][]{1,3}[lemma=""""naš""""])within<s/>"			
text.topic	Frequency	Relative density	Relative in text types
2026-02-18	2	168.19791	3.90584
2021-08-13	2	184.99172	4.29582
2019-06-09	2	288.73188	6.70484
2021-09-16	2	140.57438	3.26437
2021-09-11	2	205.27843	4.76691
2021-09-13	2	155.46312	3.61011
2022-11-09	2	157.57589	3.65918
2024-05-24	2	145.08555	3.36913
2019-06-25	2	316.71574	7.35467
2021-09-30	2	140.90164	3.27197
2020-06-12	2	183.89405	4.27033
2021-10-26	2	151.60191	3.52045
2021-11-20	2	195.17185	4.53222
2021-12-02	2	152.52656	3.54192
2022-12-08	2	147.5816	3.42709
2019-04-25	2	193.53902	4.4943
2025-03-07	2	132.37631	3.074
2021-06-08	2	199.27674	4.62754
2022-02-25	2	147.71804	3.43026
2022-02-11	2	153.01052	3.55316
2020-05-10	2	263.1799	6.11148
2025-11-29	2	257.36957	5.97655
2022-03-30	2	155.74847	3.61674
2022-01-22	2	202.66993	4.70634
2022-03-21	2	158.33312	3.67676
2022-03-09	2	133.88718	3.10909
2022-03-02	2	141.42245	3.28407
2021-08-12	2	190.67424	4.42778
2022-02-01	2	157.41087	3.65534
2025-11-21	2	163.93196	3.80678
2022-04-20	2	142.68742	3.31344
2022-04-09	2	185.40549	4.30543
2019-03-18	2	199.47797	4.63221
2022-05-03	2	160.19584	3.72002
2022-05-23	2	140.53814	3.26353
2022-05-28	2	194.57528	4.51836
2022-05-10	2	143.81343	3.33959
2022-06-12	2	212.41445	4.93262
2022-04-03	2	198.93061	4.6195
2022-06-17	2	151.92817	3.52803
2019-10-16	2	178.95133	4.15555
2022-07-26	2	186.24705	4.32497
2021-12-08	2	139.28965	3.23454
2022-07-15	2	170.1538	3.95126
2022-08-13	2	218.52119	5.07443
2023-08-06	2	219.72817	5.10246
2022-08-10	2	186.24705	4.32497
2022-08-20	2	255.9348	5.94324
2022-04-14	2	134.9673	3.13417
2025-12-16	2	173.74284	4.0346
2021-02-25	2	143.93913	3.34251
2021-09-08	2	149.68926	3.47604
2022-09-03	2	195.99039	4.55123
2022-10-09	2	184.84284	4.29236
2021-06-23	2	181.06946	4.20474
2026-01-07	2	180.95494	4.20208
2021-01-02	2	273.04878	6.34065
2022-09-26	2	150.76992	3.50113
2021-11-05	2	140.73104	3.26801
2022-10-19	2	128.77464	2.99036
2021-12-12	2	206.93018	4.80527
2020-04-01	2	171.65854	3.9862
2022-10-26	2	144.54887	3.35667
2022-10-10	2	145.38974	3.37619
2022-09-13	2	159.98605	3.71514
2022-11-02	2	182.33214	4.23406
2024-02-28	2	152.04726	3.53079
2021-06-29	2	182.40358	4.23572
2022-11-19	2	202.54124	4.70335
2021-11-23	2	151.93246	3.52813
2022-11-14	2	138.21913	3.20968
2021-02-02	2	132.85864	3.0852
2026-02-23	2	165.4149	3.84121
2022-12-19	2	166.56367	3.86789
2022-06-26	2	230.83631	5.36041
2022-12-09	2	159.64206	3.70716
2022-10-07	2	152.37518	3.53841
2021-01-27	2	141.27653	3.28068
2021-10-23	2	205.23049	4.7658
2023-01-04	2	189.15246	4.39244
2024-05-12	2	227.83318	5.29067
2023-01-19	2	149.91621	3.48131
2023-01-28	2	228.55205	5.30736
2023-02-23	2	138.773	3.22254
2023-02-16	2	163.32979	3.79279
2023-02-28	2	139.76002	3.24546
2023-02-18	2	219.02188	5.08606
2023-02-27	2	149.98905	3.483
2023-02-06	2	185.1715	4.29999
2023-03-06	2	168.50658	3.91301
2021-04-20	2	163.4575	3.79576
2023-03-27	2	163.38184	3.794
2025-10-31	2	272.03111	6.31702
2020-07-02	2	180.60471	4.19394
2021-02-08	2	182.30628	4.23346
2024-12-20	2	148.15484	3.4404
2025-06-05	2	120.485	2.79786
2022-04-06	2	141.98292	3.29708
2019-07-30	2	242.42659	5.62955
2024-12-21	2	209.59105	4.86706
